Masse - Plot 0	Strom - Plot 0	
0,000	0,044	
0,000	0,044	
0,000	0,095	
0,000	0,095	
0,000	0,095	
0,000	0,095	
0,000	0,095	
0,000	0,044	
0,000	0,044	
0,000	0,044	
0,000	0,095	
0,000	0,044	
0,000	0,044	
0,000	0,095	
0,000	0,044	
0,000	0,044	
0,000	0,095	
0,000	0,044	
0,001	0,095	
0,001	0,044	
0,002	0,095	
0,002	0,044	
0,004	0,095	
0,005	0,044	
0,008	0,044	
0,009	0,095	
0,013	0,044	
0,014	0,095	
0,019	0,095	
0,020	0,095	
0,025	0,044	
0,027	0,044	
0,034	0,044	
0,035	0,044	
0,042	0,044	
0,044	0,044	
0,053	0,044	
0,055	0,044	
0,064	0,044	
0,066	0,145	
0,077	0,095	
0,079	0,044	
0,174	0,044	
0,178	0,044	
0,198	0,044	
0,215	0,044	
0,220	0,044	
0,237	0,095	
0,242	0,044	
0,260	0,044	
0,266	0,095	
0,285	0,044	
0,290	0,044	
0,310	0,044	
0,316	0,044	
0,337	0,044	
0,342	0,044	
0,371	0,044	
0,394	0,044	
0,400	0,044	
0,423	0,044	
0,455	0,044	
0,486	0,044	
0,494	0,044	
0,520	0,044	
0,554	0,044	
0,562	0,044	
0,590	0,044	
0,597	0,044	
0,626	0,044	
0,635	0,044	
0,783	0,044	
0,793	0,044	
0,826	0,044	
0,834	0,044	
0,868	0,095	
0,878	0,044	
0,913	0,044	
0,922	0,095	
0,958	0,095	
0,968	4,423	
1,005	4,067	
1,014	0,044	
1,052	0,044	
1,063	0,095	
1,101	0,044	
1,162	0,044	
1,202	0,095	
1,212	0,145	
1,253	0,145	
1,265	0,145	
1,307	0,145	
1,317	0,044	
1,360	0,044	
1,370	0,044	
1,416	0,044	
1,427	0,044	
1,471	0,095	
1,482	0,095	
1,530	0,044	
1,541	0,044	
1,587	0,095	
1,598	0,095	
1,648	0,095	
1,659	0,095	
1,707	0,095	
1,719	0,044	
1,771	0,044	
1,782	0,044	
1,832	0,044	
1,844	0,044	
1,898	0,044	
1,910	0,044	
1,961	0,044	
1,973	0,095	
2,029	0,095	
2,041	0,044	
2,095	0,044	
2,107	0,044	
2,164	0,044	
2,177	0,095	
2,232	0,095	
2,245	0,095	
2,305	0,044	
2,318	0,095	
2,375	0,044	
2,449	0,044	
2,463	0,044	
2,521	0,044	
2,535	0,095	
2,594	0,095	
2,612	0,044	
2,686	0,196	
2,748	0,044	
2,766	0,044	
2,828	0,044	
2,905	0,095	
2,987	0,044	
3,086	0,044	
3,233	0,044	
3,320	0,044	
3,336	0,044	
3,404	0,044	
3,424	0,044	
3,493	0,044	
3,509	0,044	
3,759	0,044	
3,780	0,044	
3,852	0,044	
3,869	0,044	
3,964	0,044	
4,038	0,044	
4,056	0,044	
4,153	0,044	
4,229	0,095	
4,324	0,044	
4,346	0,044	
4,401	0,044	
4,442	0,095	
4,544	0,044	
4,581	0,145	
4,684	0,145	
4,746	0,145	
4,784	0,095	
4,846	0,095	
4,952	0,044	
4,991	0,044	
5,055	0,044	
5,099	0,095	
5,158	0,044	
5,203	0,095	
5,313	0,044	
5,373	0,095	
5,419	0,044	
5,485	0,044	
5,531	0,044	
5,593	0,095	
5,706	0,044	
5,753	0,044	
5,816	0,044	
5,864	0,044	
5,911	0,095	
5,980	0,044	
6,023	0,095	
6,093	0,044	
6,141	0,044	
6,206	0,044	
6,255	0,044	
6,305	0,044	
6,348	0,044	
6,420	0,145	
6,470	0,044	
6,542	0,044	
6,587	0,044	
6,710	0,196	
6,784	0,095	
6,829	0,044	
6,904	0,044	
7,030	0,044	
7,152	0,044	
7,205	0,044	
7,281	0,044	
7,328	0,095	
7,405	0,044	
7,458	0,044	
7,536	0,044	
7,584	0,044	
7,796	0,044	
7,844	0,044	
7,924	0,044	
7,979	0,044	
8,059	0,044	
8,109	0,044	
8,246	0,044	
8,517	0,044	
8,600	0,044	
8,652	0,044	
8,793	0,044	
8,871	0,044	
8,929	0,044	
8,988	0,044	
9,073	0,044	
9,126	0,044	
9,212	0,044	
9,271	0,044	
9,358	0,044	
9,411	0,044	
9,498	0,044	
9,559	0,044	
9,906	0,044	
9,995	0,095	
10,057	0,044	
10,147	0,044	
10,203	0,044	
10,294	0,044	
10,357	0,044	
10,448	0,044	
10,504	0,044	
10,596	0,044	
10,660	0,145	
10,810	0,095	
10,904	0,044	
10,932	0,145	
11,026	0,196	
11,092	0,145	
11,150	0,095	
11,215	0,095	
11,281	0,145	
11,377	0,095	
11,531	0,044	
11,598	0,044	
11,687	0,044	
11,755	0,095	
11,852	89,777	
12,078	4,933	
12,146	0,044	
12,245	0,044	
12,306	0,044	
12,406	0,044	
12,475	0,044	
12,575	0,095	
12,637	0,095	
12,738	0,044	
12,808	2,896	
12,910	13,081	
12,973	7,428	
13,043	2,59	
13,107	0,145	
13,209	0,044	
13,241	0,095	
13,344	0,044	
13,384	0,095	
13,488	0,044	
13,552	0,095	
13,689	0,044	
13,794	0,044	
13,834	0,349	
13,932	0,298	
14,005	0,247	
14,079	0,145	
14,185	0,095	
14,358	0,044	
14,540	0,044	
